date,electricity_generation_GWh,electricity_consumption_GWh,gdp_thousands_usd,Year
2024-01-01,59616.1,57541.1,561941.4,2024
2023-01-01,57384.2,55386.9,538319.8,2023
2022-01-01,57113.7,54884.9,528690.2,2022
2021-01-01,55788.3,53483.3,507828.6,2021
2020-01-01,53071.6,50779.5,462685.3,2020
2019-01-01,54142.3,51730.1,481035.4,2019
2018-01-01,52904.8,50461.0,474824.5,2018
2017-01-01,52225.8,49638.0,458980.6,2017
2016-01-01,51586.6,48623.0,439313.0,2016
2015-01-01,50271.6,47513.9,423444.1,2015
2014-01-01,49309.7,46403.0,411203.4,2014
2013-01-01,47963.5,44948.8,395633.1,2013
2012-01-01,46936.2,44200.7,377449.0,2012
2011-01-01,45999.4,43007.1,361418.3,2011
2010-01-01,45366.5,42251.8,340270.7,2010
2009-01-01,41800.6,38822.9,297128.4,2009
2008-01-01,41670.3,38986.9,296748.7,2008
2007-01-01,41134.1,38304.9,291320.0,2007
2006-01-01,39480.4,36801.8,267213.3,2006
2005-01-01,38212.7,35489.3,245134.6,2005
