,Date,peak_system_demand_mw,outage_capacity_MW,remaining_capacity_MW,total_capacity_MW,percentage_capacity_available,lowest_scenario_capacity_MW,peak_demand_lowest_capacity_ratio,peak_demand_remaining_capacity_ratio
0,1/1/2009,5488,2195,8462,10657,0.794,7849.95,0.6991,0.6485
1,1/2/2009,5629,2146,8261,10407,0.7938,7665.8,0.7343,0.6814
2,1/3/2009,5482,1541,8866,10407,0.8519,7665.8,0.7151,0.6183
3,1/4/2009,5806,1813,8594,10407,0.8258,7665.8,0.7574,0.6756
4,1/5/2009,5926,1605,8802,10407,0.8458,7665.8,0.773,0.6733
5,1/6/2009,5940,1758,8649,10407,0.8311,7665.8,0.7749,0.6868
6,1/7/2009,5958,1858,8549,10407,0.8215,7665.8,0.7772,0.6969
7,1/8/2009,6032,1579,8828,10407,0.8483,7665.8,0.7869,0.6833
8,1/9/2009,6041,2157,8250,10407,0.7927,7665.8,0.788,0.7322
9,1/10/2009,6039,1508,8908,10416,0.8552,7672.43,0.7871,0.6779
10,1/11/2009,5922,1975,8546,10521,0.8123,7749.77,0.7642,0.693
11,1/12/2009,5904,1260,8511,9771,0.871,7197.32,0.8203,0.6937
12,1/1/2010,5981,1275,8496,9771,0.8695,7197.32,0.831,0.704
13,1/2/2010,6216,1395,8376,9771,0.8572,7197.32,0.8637,0.7421
14,1/3/2010,6218,1531,8240,9771,0.8433,7197.32,0.8639,0.7546
15,1/4/2010,6395,1037,8734,9771,0.8939,7197.32,0.8885,0.7322
16,1/5/2010,6494,1416,8355,9771,0.8551,7197.32,0.9023,0.7773
17,1/6/2010,6311,1409,8362,9771,0.8558,7197.32,0.8769,0.7547
18,1/7/2010,6244,1694,8817,10511,0.8388,7742.4,0.8065,0.7082
19,1/8/2010,6358,1653,8858,10511,0.8427,7742.4,0.8212,0.7178
20,1/9/2010,6285,998,9513,10511,0.9051,7742.4,0.8118,0.6607
21,1/10/2010,6345,1593,8918,10511,0.8484,7742.4,0.8195,0.7115
22,1/11/2010,6320,1505,9006,10511,0.8568,7742.4,0.8163,0.7018
23,1/12/2010,6232,2133,8378,10511,0.7971,7742.4,0.8049,0.7439
24,1/1/2011,6160,2296,8110,10406,0.7794,7665.06,0.8036,0.7596
25,1/2/2011,6214,1355,9051,10406,0.8698,7665.06,0.8107,0.6866
26,1/3/2011,6227,1570,8836,10406,0.8491,7665.06,0.8124,0.7047
27,1/4/2011,6310,2107,8359,10466,0.7987,7709.26,0.8185,0.7549
28,1/5/2011,6570,1313,9153,10466,0.8745,7709.26,0.8522,0.7178
29,1/6/2011,6500,1018,9448,10466,0.9027,7709.26,0.8431,0.688
30,1/7/2011,6482,1486,8980,10466,0.858,7709.26,0.8408,0.7218
31,1/8/2011,6417,1796,8670,10466,0.8284,7709.26,0.8324,0.7401
32,1/9/2011,6480,1688,8528,10216,0.8348,7525.11,0.8611,0.7598
33,1/10/2011,6326,1608,8608,10216,0.8426,7525.11,0.8407,0.7349
34,1/11/2011,6256,1544,8672,10216,0.8489,7525.11,0.8313,0.7214
35,1/12/2011,6159,1500,8716,10216,0.8532,7525.11,0.8185,0.7066
36,1/1/2012,6323,1845,8371,10216,0.8194,7525.11,0.8403,0.7553
37,1/2/2012,6289,1329,8887,10216,0.8699,7525.11,0.8357,0.7077
38,1/3/2012,6373,2156,8060,10216,0.789,7525.11,0.8469,0.7907
39,1/4/2012,6457,2017,8199,10216,0.8026,7525.11,0.8581,0.7875
40,1/5/2012,6639,1770,8446,10216,0.8267,7525.11,0.8822,0.7861
41,1/6/2012,6552,2691,7525,10216,0.7366,7525.11,0.8707,0.8707
42,1/7/2012,6524,2082,8134,10216,0.7962,7525.11,0.867,0.8021
43,1/8/2012,6576,1592,9486,11078,0.8563,8160.05,0.8059,0.6932
44,1/9/2012,6490,1256,9822,11078,0.8866,8160.05,0.7953,0.6608
45,1/10/2012,6563,1235,9243,10478,0.8821,7718.09,0.8503,0.7101
46,1/11/2012,6432,1414,9064,10478,0.8651,7718.09,0.8334,0.7096
47,1/12/2012,6323,1763,8715,10478,0.8317,7718.09,0.8192,0.7255
48,1/1/2013,6455,1533,8945,10478,0.8537,7718.09,0.8363,0.7216
49,1/2/2013,6381,1781,8697,10478,0.83,7718.09,0.8268,0.7337
50,1/3/2013,6471,1826,9062,10888,0.8323,8020.1,0.8068,0.7141
51,1/4/2013,6572,1480,9628,11108,0.8668,8182.15,0.8032,0.6826
52,1/5/2013,6686,1507,9601,11108,0.8643,8182.15,0.8171,0.6964
53,1/6/2013,6814,1563,9545,11108,0.8593,8182.15,0.8328,0.7139
